name,image_url,image_path
Precious Achiuwa,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Achiuwa_Precious_nyk24.jpg,Precious_Achiuwa.jpg
Steven Adams,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adams_Steven_hou24.jpg,Steven_Adams.jpg
Bam Adebayo,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adebayo_Bam_mia24.jpg,Bam_Adebayo.jpg
Ochai Agbaji,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Agbaji_Ochai_tor24.jpg,Ochai_Agbaji.jpg
Santi Aldama,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aldama_Santi_mem24.jpg,Santi_Aldama.jpg
Trey Alexander,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alexander_Trey_den24.jpg,Trey_Alexander.jpg
Nickeil Alexander-Walker,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Walker_Nickeil_min24.jpg,Nickeil_Alexander-Walker.jpg
Grayson Allen,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Grayson_phx24.jpg,Grayson_Allen.jpg
Jarrett Allen,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Allen_Jarrett_cle24.jpg,Jarrett_Allen.jpg
Jose Alvarado,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alvarado_Jose_nop24.jpg,Jose_Alvarado.jpg
Kyle Anderson,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anderson_Kyle_gsw24.jpg,Kyle_Anderson.jpg
Giannis Antetokounmpo,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Antetokounmpo_Giannis_mil24.jpg,Giannis_Antetokounmpo.jpg
Cole Anthony,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anthony_Cole_orl24.jpg,Cole_Anthony.jpg
OG Anunoby,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Anunoby_OG_nyk24.jpg,OG_Anunoby.jpg
Taran Armstrong,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Armstrong_Taran_22w.jpg,Taran_Armstrong.jpg
Deni Avdija,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Avdija_Deni_por24.jpg,Deni_Avdija.jpg
Deandre Ayton,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ayton_Deandre_por24.jpg,Deandre_Ayton.jpg
Marvin Bagley III,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bagley_Marvin_was24.jpg,Marvin_Bagley_III.jpg
"Patrick Baldwin, Jr.",https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Baldwin_Patrick_was24.jpg,"Patrick_Baldwin,_Jr..jpg"
LaMelo Ball,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ball_Lamelo_cha24.jpg,LaMelo_Ball.jpg
Lonzo Ball,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ball_Lonzo_chi24.jpg,Lonzo_Ball.jpg
Paolo Banchero,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Banchero_Paolo_orl24.jpg,Paolo_Banchero.jpg
Desmond Bane,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bane_Desmond_mem24.jpg,Desmond_Bane.jpg
Dalano Banton,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Banton_Dalano_por24.jpg,Dalano_Banton.jpg
Dominick Barlow,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Barlow_Dominick_atl24.jpg,Dominick_Barlow.jpg
Harrison Barnes,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Barnes_Harrison_sas24.jpg,Harrison_Barnes.jpg
Scottie Barnes,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Barnes_Scottie_tor24.jpg,Scottie_Barnes.jpg
R.J. Barrett,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Barrett_RJ_tor24.jpg,R.J._Barrett.jpg
Charles Bassey,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bassey_Charles_sas24.jpg,Charles_Bassey.jpg
Emoni Bates,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bates_Emoni_cle24.jpg,Emoni_Bates.jpg
Jamison Battle,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Battle_Jamison_tor24.jpg,Jamison_Battle.jpg
Nicolas Batum,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Batum_Nicolas_lac24.jpg,Nicolas_Batum.jpg
